TEAM,Games Played,Won,Offensive Efficiency,Defensive Efficiency,Power Rating,Field Goal Shot,Field Goal Allowed,Turnover allowed,Turn Over Commited,Free Throw Shot,Free Throw Allowed,Two Point Shot,Two Point Allowed,Three Point Shot,Three Point Allowed
Bucknell,35,25,108,101.3,0.676,53.9,47.8,17,17,42.6,34.5,55,47,34.8,33.1
Vermont,34,27,110.7,103.8,0.6759,55.9,50.6,16.9,16.8,41.8,25,53.8,49.9,39.9,34.6
Northern Colorado,35,26,106.7,100.2,0.674,53.7,48.8,16.7,17.3,33.7,36.7,54,48.7,35.5,32.8
Northern Iowa,30,16,103.6,97.3,0.6732,48.5,49.8,17.5,17,31.3,25.6,47.3,46.4,33.5,37
Oregon St.,32,16,107.4,100.9,0.6713,52.1,49.6,19.4,18.6,38.7,38.2,53.3,48.1,32.9,34.8
Northeastern,32,23,106.1,99.8,0.6709,56.9,49.4,19.8,17.9,35.1,33,57.6,51.1,37.3,30
Minnesota,32,15,108.3,101.8,0.6706,48.7,50.5,15.5,16,35.1,27.1,47.1,47.3,34.6,37.5
Mississippi,32,12,110.4,103.9,0.6687,48.3,51.5,15.9,17.3,33.8,36.9,48.7,48.1,31.9,37.8
East Tennessee St.,32,25,103.5,97.5,0.6652,53.8,47.1,19.7,20.6,33.1,33.4,54.8,46.4,34.7,32
Penn,32,24,103.6,97.6,0.6644,52.9,47,16.6,17,33.4,31.8,53.3,48,34.8,30
UNLV,33,20,110.4,104.1,0.6637,53.5,48.7,19.1,15.5,43.4,26.2,54.8,46.7,33.4,35.2
Marshall,35,25,108.8,102.5,0.6633,54.7,49.9,17.2,18.4,33.1,28.9,55.5,48.7,35.9,35
Colorado,32,17,104.8,99,0.6588,50.6,49.3,20,15.1,33.3,34,48.8,46.6,35.8,35.7
Grand Canyon,33,22,101.9,96.5,0.6514,48.5,44.3,18.8,21.5,39.1,39.2,49.2,45.6,31.7,27.5
UAB,31,20,108,102.5,0.6448,54.7,50.6,19,17.6,28.3,26.8,55.9,49.1,34.8,35
Georgia Tech,32,13,103.4,98.5,0.6385,46.9,49.2,19.2,18.9,34.8,31.8,46.6,45.4,31.8,37.9
San Diego,33,20,104.1,99.3,0.6325,53.1,46.3,19.6,17.8,39.3,41.9,51.7,46.4,36.6,30.7
Saint Joseph's,32,16,104.5,99.9,0.628,48.8,49.6,13.9,16.2,34.6,24.6,47.7,48.9,33.7,33.7
Missouri St.,32,18,108.3,103.6,0.6271,49.4,47.5,17.4,14.8,27.3,30.4,49.4,46,32.9,33.5
Toledo,33,23,113.2,108.3,0.6248,55.3,49.5,16.6,13.4,37.1,26.4,51.4,48.5,40.6,34.4
UCF,32,19,97.4,93.5,0.6165,47.8,45.7,20.7,18.9,43.1,26.2,47.1,43.7,32.9,33.1
Bradley,32,20,103.9,99.7,0.6155,48.9,47.7,20,20.3,37.8,35.6,46.6,46.2,35.6,33.3
Eastern Washington,33,20,107.4,103.3,0.6107,54,51,16.8,16.9,28,35.4,52,49.6,37.9,35.8
UC Santa Barbara,30,23,110.2,106.2,0.6045,53,49.9,14.9,16.6,32,29.5,50.5,48.9,38.3,34.4
Wyoming,32,20,104.6,101.2,0.5944,52.1,51,17.6,19.1,41.2,37.8,52.7,48.6,34.2,37
Rutgers,33,15,98.1,95,0.589,43.6,48,17.2,20.5,30.5,30.8,43.4,47.6,29.6,32.5
UT Arlington,33,21,104.7,101.5,0.5886,52.5,49.2,20.1,19.3,34.8,34.7,51,47.9,36.5,33.9
Harvard,31,18,100.8,97.8,0.5854,50.4,49,20.5,18.4,27.6,35.2,48.5,47.7,35.4,34.1
La Salle,32,13,104.6,101.6,0.5849,49,51.7,16.5,17.5,31,33.8,48.8,48.8,32.9,38.1
VCU,33,18,105.5,102.7,0.5788,52.6,51.5,18.7,17.8,28.1,29.4,52.4,50.9,35.2,35.1
North Texas,36,20,105.5,102.8,0.5741,51.2,48.6,18.7,17.3,33.6,38.8,50,49.1,35.4,31.9
Florida Gulf Coast,32,23,105.8,103.2,0.5707,55.3,49.9,19.5,18.9,33.4,35.1,54.9,49.2,37.3,34
UC Davis,31,22,103.2,100.8,0.5691,52,49.4,18.6,21.9,38.5,36.5,50.7,49.2,36.6,33
College of Charleston,32,26,106.8,104.3,0.5685,52.7,49.9,15.1,17.8,36.6,32.1,52,48.7,35.9,34.6
Evansville,30,17,97.6,95.4,0.5674,48.7,49.8,20.9,20.9,34.6,32.9,44.5,48.5,39.8,34.4
Wright St.,33,25,99.4,97.2,0.5638,48.6,48.3,18.6,21,35.3,29.9,47.7,45.8,33.5,34.7
Utah St.,33,17,106.1,103.8,0.5631,53.2,51.9,18.8,17.6,33.2,33.3,52.5,50.7,36,36
Eastern Michigan,31,22,101.3,99.1,0.563,51.4,47.5,18.7,20.1,29.2,31.6,52,44.6,33.6,34.6
UC Irvine,33,18,99.4,97.3,0.5585,48.1,45,20.5,14.8,28.2,41.2,47.5,42.9,33,32.8
Saint Louis,32,17,101.3,99.3,0.5572,47.1,49.3,19.5,18.3,45.8,35.1,46.6,47.7,32,34.8
Illinois St.,32,18,104.4,102.5,0.5537,49.8,49,18.9,18.1,33.8,38.3,49.4,50.3,33.6,31.3
Louisiana Tech,31,17,106.2,104.3,0.5516,50.9,50.6,17.9,18.2,36.5,32.1,48.2,48.6,36.7,36.4
Indiana St.,29,13,103.2,101.4,0.5506,49.5,51.4,20.1,19.8,34.1,42.1,46.5,50.1,35.9,35.7
Drake,33,17,105.6,103.8,0.5496,50.4,51.6,17.2,16.9,32.3,24.5,48.4,52.3,35.6,33.6
San Francisco,38,22,101.8,100.1,0.5476,49.4,48.9,17.4,17,29.3,36.9,48.4,48.5,33.8,33.3
Southern Illinois,32,20,104.4,102.8,0.5446,52.2,50.5,18.7,19.9,32.4,34.1,51.5,50.9,35.7,33.3
Memphis,34,21,107.6,106,0.5439,50.7,50.8,20.4,18.9,43.6,32.4,52.3,47.6,31.7,37
Canisius,33,21,105.9,104.4,0.5411,54.2,50.5,18.7,21.6,29.9,37.2,55.9,51.7,34.8,32.1
Dayton,31,14,108.3,106.8,0.5405,55.5,54.4,20.2,18.4,31.8,29.2,59.5,52.5,33.7,38.3
Lipscomb,30,23,103.2,101.8,0.5375,51.5,52,20,19.9,40.6,38.4,53.2,52.8,32.7,33.8
Albany,31,22,106.1,104.8,0.5371,50.5,50.6,17.5,17,37,27.1,48.7,51.6,36.8,32.6
Idaho,29,22,107.9,106.6,0.5348,54.7,50.1,19.4,16.1,30.4,30.2,50.3,48.1,41.1,35.2
Iona,34,20,108.8,107.6,0.5333,53.9,52.5,16,18.8,30.2,28.6,51.5,51.7,38.3,35.8
Rider,32,22,107.8,106.8,0.527,52.6,52.8,17.6,20.5,42.1,36.8,52,50.5,35.8,37.1
UTSA,32,20,104,103.2,0.523,51.1,49.4,17.1,16.3,29.6,41.6,49.3,47.8,35.5,34.7
Georgia Southern,31,21,104.8,104,0.5225,49.2,49.7,16.1,20.3,38.2,35.2,48.4,50.4,33.6,32.4
Jacksonville St.,35,23,100.7,99.9,0.5217,50.2,48.4,19.2,19.3,30.4,32.4,51.3,47.3,31.8,33.3
Hofstra,30,19,110,109.4,0.5169,53.2,54.2,15.6,16.3,36.5,32.5,51.6,54.3,37.3,36
Mercer,32,19,111.1,110.5,0.5157,54.3,53.1,18.8,16.5,35.7,33.6,52.7,52.5,37.8,35.8
Wofford,31,21,108,107.8,0.5047,55.2,53.3,18.2,18.7,28.5,34,50.9,52.4,40.2,36.4
Valparaiso,30,15,101.5,101.5,0.502,50.8,48.5,21.2,19.5,36.7,44.1,50.5,48.6,34.1,32.2
Central Michigan,33,21,109.5,109.4,0.5009,51,52.5,17,17.9,33.7,27.2,50.5,53.1,34.4,34.5
UMBC,33,25,102.1,102.2,0.4963,52.2,51.6,17.2,20.7,30.2,30.8,48.1,51,38.2,35
George Washington,33,15,103.9,104.1,0.4952,49.5,51.4,19.2,17.1,28.9,28.1,50.2,50.3,32.1,35.7
Portland St.,31,20,106.8,107,0.494,49.2,55,16.5,22,33.3,43.3,48.9,54,33.2,38
Oakland,33,19,105.7,106.2,0.4866,52,50.8,18.1,16.9,35.5,27.8,51.4,48.5,35.2,37.3
William & Mary,29,19,114,114.8,0.4815,59.5,56.8,17.2,14.4,33.4,32.4,56.6,57.2,42.2,37.4
Ball St.,31,19,102,102.7,0.4797,51.4,49.4,18.4,16.7,33.2,30,51.7,46.3,33.9,36.6
