,Team,Games_Played,Won,Offensive_Efficiency,Defensive_Efficiency,Power_Rating,Field_Goal_Shot,Field_Goal_Allowed,Turnover_Allowed,Turn_Over_Commited,Free_Throw_Shot,Free_Throw_Allowed,Two_Point_Shot,Two_Point_Allowed,Three_Point_Shot,Three_Point_Allowed,Conference
210,Coastal Carolina,29,14,Bad,Good,Bad,49.0,49.6,22.0,18.0,38.8,40.2,48.4,47.4,33.3,34.9,Amer
211,Texas St.,31,15,Bad,Good,Bad,48.8,51.7,20.9,19.4,36.3,30.0,48.4,53.1,33.1,33.0,Amer
212,Louisiana Monroe,29,16,Bad,Good,Bad,49.9,51.4,17.8,18.6,24.3,30.7,47.0,50.2,35.6,35.3,Amer
213,South Alabama,30,14,Bad,Bad,Bad,48.4,47.3,20.9,18.4,37.7,38.0,48.3,47.9,32.3,30.9,Amer
214,Fairfield,33,17,Bad,Good,Bad,51.4,52.5,17.4,18.8,30.9,36.8,51.8,49.0,33.9,39.3,Amer
215,Columbia,26,8,Good,Better,Bad,52.4,54.2,17.8,18.2,24.5,32.0,49.9,51.6,37.2,38.4,ASun
216,Tennessee St.,28,15,Bad,Bad,Bad,49.3,52.7,21.9,23.3,37.8,35.4,48.1,51.3,33.9,36.1,ASun
217,Colorado St.,31,11,Bad,Good,Bad,47.5,53.7,18.8,17.4,33.8,35.9,46.4,53.7,33.0,35.8,ASun
218,Stony Brook,31,13,Bad,Bad,Bad,47.9,50.5,20.0,20.8,32.0,41.8,47.5,49.1,32.2,35.3,ASun
219,Akron,31,14,Bad,Good,Bad,51.5,54.2,19.8,18.5,31.4,39.1,49.9,54.1,35.6,36.1,ASun
220,Sam Houston St.,32,21,Bad,Good,Bad,48.2,51.8,18.8,20.1,34.0,37.6,47.0,53.1,33.7,33.3,ASun
221,Saint Peter's,32,14,Poor,Bad,Bad,49.2,48.4,19.6,21.3,27.3,42.3,48.1,47.8,33.7,32.9,ASun
222,Hartford,32,19,Bad,Good,Bad,52.7,51.1,18.1,18.1,31.2,33.4,53.6,50.8,34.4,34.4,ASun
223,Campbell,31,18,Good,Better,Bad,54.6,52.0,17.2,17.3,34.0,32.5,52.6,51.8,38.1,34.8,ASun
224,Air Force,29,12,Bad,Good,Bad,47.6,54.9,18.8,20.6,32.0,33.3,46.8,51.3,32.5,39.7,ASun
225,Pittsburgh,32,8,Bad,Bad,Bad,48.2,50.1,20.9,16.6,31.9,31.3,47.8,50.1,32.5,33.4,ASun
226,Tennessee Tech,31,19,Bad,Bad,Bad,49.0,51.0,19.8,20.3,37.7,36.6,47.5,51.6,34.5,33.4,ASun
227,Navy,31,20,Bad,Bad,Bad,49.6,53.2,21.3,21.3,36.2,34.0,50.2,51.8,32.3,36.8,ASun
228,Central Arkansas,34,18,Good,Better,Bad,51.7,50.9,18.3,19.0,36.1,37.9,50.7,49.4,35.6,36.0,ASun
229,Lehigh,29,16,Good,Better,Bad,52.9,52.4,17.4,16.0,25.8,30.7,47.7,53.1,40.6,34.3,ASun
230,Manhattan,31,14,Bad,Good,Bad,51.6,50.1,22.7,21.5,37.6,41.0,46.8,49.1,40.0,34.5,ASun
231,Niagara,33,19,Good,Better,Bad,50.8,52.6,15.0,15.5,38.0,29.5,49.2,50.2,35.8,38.0,ASun
232,James Madison,31,10,Bad,Good,Bad,48.0,52.8,16.5,18.5,34.1,42.0,46.7,50.9,33.5,37.2,ASun
233,St. Francis PA,29,18,Good,Better,Bad,52.8,53.6,16.5,18.6,33.5,23.4,51.2,53.8,37.0,35.5,ASun
234,NJIT,28,14,Bad,Good,Bad,49.8,53.0,18.5,20.3,32.9,33.7,48.1,51.9,35.3,36.9,ASun
235,Bowling Green,30,16,Bad,Good,Bad,47.3,52.3,17.6,16.8,36.6,32.0,45.1,51.2,34.3,36.3,ASun
236,Loyola Marymount,30,11,Good,Better,Bad,49.3,57.5,19.2,19.8,32.5,42.8,48.2,57.7,34.6,38.1,ASun
237,UNC Wilmington,30,11,Good,Better,Bad,48.9,56.6,17.3,15.6,31.1,36.9,47.4,54.8,34.5,39.6,ASun
238,Delaware,31,14,Bad,Better,Bad,50.3,52.9,15.8,14.9,34.4,29.6,50.7,51.2,32.9,37.0,ASun
239,Cal St. Bakersfield,27,12,Bad,Bad,Bad,46.5,50.5,20.7,19.2,34.7,44.7,47.5,48.5,29.8,35.5,ASun
240,California,31,8,Bad,Bad,Bad,44.5,54.5,20.8,19.7,38.1,38.4,45.1,51.6,28.6,39.4,ASun
241,UTEP,30,11,Bad,Bad,Bad,49.3,50.6,17.8,17.4,30.9,36.4,49.0,48.8,33.1,35.3,ASun
242,Mount St. Mary's,30,18,Bad,Better,Bad,54.1,51.7,16.2,20.2,29.1,27.3,52.3,51.6,37.3,34.6,ASun
243,Pepperdine,31,6,Good,Better,Bad,49.5,57.0,17.2,15.5,35.2,33.5,48.8,54.7,34.2,40.1,ASun
244,Oral Roberts,28,11,Good,Better,Bad,48.9,54.2,19.0,15.3,24.3,31.2,47.7,53.9,34.2,36.5,ASun
245,Eastern Illinois,29,12,Bad,Good,Bad,47.7,52.0,20.4,19.3,32.2,33.4,44.6,48.5,35.3,38.5,ASun
246,Florida Atlantic,28,12,Bad,Bad,Bad,43.9,49.2,18.2,16.6,29.0,32.6,42.3,49.1,31.9,32.9,ASun
247,North Dakota,30,12,Bad,Better,Bad,51.8,56.4,17.4,19.7,35.5,34.1,51.4,56.0,35.1,38.0,ASun
248,Cornell,27,12,Good,Better,Bad,52.5,53.3,18.5,15.7,35.1,28.8,54.0,49.9,33.4,39.3,ASun
249,Southern Utah,30,13,Bad,Better,Bad,50.4,54.6,17.4,16.6,35.9,41.6,48.2,53.2,36.1,38.2,ASun
