STATE,Total_Population,Urban,Suburban,Rural,Male,Female,W,AA,AI,APAC,Native,Foreign,Europe,Asia,Africa,Oceania,Americas,Male_5,Male_8,Male_11,Male_A,Male_B,Male_G,Female_5,Female_8,Female_11,Female_A,Female_B,Female_G,Household_1,Household_2,Household_3,Household_4,MedianIncome,Family_1,Family_2,Family_3,Family_4,Family_5,PerCapitaIncome,Poverty,HousingUnits,Male_Ratio,Female_Ratio,Sex_Ratio,Urban_Ratio,Suburban_Ratio,Rural_Ratio,Location_Ratio,W_Ratio,AA_Ratio,AI_Ratio,APAC_Ratio,Race_Ratio,Native_Ratio,Foreign_Ratio,Origin_Ratio,Europe_Ratio,Asia_Ratio,Africa_Ratio,Oceania_Ratio,Americas_Ratio,Poverty_Ratio,Housing_Ratio,Male_5_Ratio,Male_8_Ratio,Male_11_Ratio,Male_A_Ratio,Male_B_Ratio,Male_G_Ratio,Female_5_Ratio,Female_8_Ratio,Female_11_Ratio,Female_A_Ratio,Female_B_Ratio,Female_G_Ratio,Educated_Sex_Ratio,College_Educated_Ratio
New Mexico,1515069,649793,455858,409418,745253,769816,1146028,30210,134355,204476,1434555,80514,11331,9569,781,329,56202,17951,32050,42311,247576,58309,44987,18429,36932,49971,289034,53648,31392,107409,61999,111265,263152,24087,58319,40785,78531,138313,79010,11246,305934,632058,0.492,0.508,968.092,0.429,0.301,0.27,370.296,0.756,0.02,0.089,0.135,322.017,0.947,0.053,56.125,0.141,0.119,0.01,0.004,0.698,201.927,2.397,0.041,0.072,0.095,0.559,0.132,0.102,0.038,0.077,0.104,0.603,0.112,0.065,1066.127,785.773
New York,17990455,14116042,1048005,2826408,8625673,9364782,13385255,2859055,62651,1683494,15138594,2851861,842395,556662,55819,5004,1232991,152593,364142,552142,2972032,798142,633576,202454,481638,646381,3713358,763577,538534,1032184,494101,999183,4108966,32965,437800,263550,621260,1518518,1687760,16501,2277296,7226891,0.479,0.521,921.076,0.785,0.058,0.157,186.389,0.744,0.159,0.003,0.094,344.05,0.841,0.159,188.383,0.295,0.195,0.02,0.002,0.432,126.584,2.489,0.028,0.067,0.101,0.543,0.146,0.116,0.032,0.076,0.102,0.585,0.12,0.085,1138.909,796.985
North Carolina,6628637,2512866,824912,3290859,3214290,3414347,5008491,1456323,80155,83668,6513560,115077,35764,38854,5269,838,29814,69754,195951,280869,1062223,254178,129660,60827,213442,331155,1300224,255825,99386,429025,250496,497371,1340206,26647,185091,154241,343884,720557,420692,12885,829858,2818193,0.485,0.515,941.407,0.379,0.124,0.496,985.943,0.756,0.22,0.012,0.013,323.48,0.983,0.017,17.667,0.311,0.338,0.046,0.007,0.259,125.193,2.352,0.035,0.098,0.141,0.533,0.128,0.065,0.027,0.094,0.146,0.575,0.113,0.044,1144.789,729.164
North Dakota,638800,202334,138005,298461,318201,320599,604142,3524,25917,5217,629412,9388,3679,2125,121,53,3177,2300,29625,12794,110515,26103,11637,2001,25428,12960,129288,27534,6365,46651,28549,53975,112627,23213,18624,15456,36496,68779,28668,11051,88276,276340,0.498,0.502,992.52,0.317,0.216,0.467,876.952,0.946,0.006,0.041,0.008,57.367,0.985,0.015,14.916,0.392,0.226,0.013,0.006,0.338,138.19,2.312,0.012,0.154,0.066,0.573,0.135,0.06,0.01,0.125,0.064,0.635,0.135,0.031,1100.718,785.379
Ohio,10847115,6656974,1382435,2807706,5226340,5620775,9521756,1154826,20358,150175,10587442,259673,138877,73547,7059,989,32983,46062,208865,403699,1931453,399888,242896,45791,246236,494893,2372429,367957,164595,657261,369031,751232,2311788,28706,282193,195977,491743,1167646,777880,13461,1325768,4371945,0.482,0.518,929.826,0.614,0.127,0.259,349.243,0.878,0.106,0.002,0.014,139.193,0.976,0.024,24.527,0.535,0.283,0.027,0.004,0.127,122.223,2.481,0.014,0.065,0.125,0.597,0.124,0.075,0.012,0.067,0.134,0.643,0.1,0.045,1128.482,791.25
Oklahoma,3145585,1354343,775796,1015446,1530819,1614766,2583512,233801,252420,75852,3080096,65489,13557,25322,2255,490,21356,22292,71564,102743,547435,126594,69012,18094,83065,137222,658040,109518,49845,250352,135987,247586,573310,23577,112678,85418,174399,318658,172657,11893,509854,1406499,0.487,0.513,948.013,0.431,0.247,0.323,476.704,0.821,0.074,0.08,0.024,217.562,0.979,0.021,21.262,0.207,0.387,0.034,0.007,0.326,162.086,2.236,0.024,0.076,0.109,0.583,0.135,0.073,0.017,0.079,0.13,0.623,0.104,0.047,1100.078,782.011
Oregon,2842321,1420059,583212,839050,1397073,1445248,2636787,46178,38496,120860,2703014,139307,36166,42308,2146,2347,51733,12329,47988,76767,546004,130608,78627,9338,45069,88861,646842,122018,50918,168830,112425,222693,601414,27250,66051,59794,143542,309503,179096,13418,344867,1193567,0.492,0.508,966.667,0.5,0.205,0.295,418.84,0.928,0.016,0.014,0.043,77.949,0.951,0.049,51.538,0.26,0.304,0.015,0.017,0.371,121.333,2.381,0.014,0.054,0.086,0.612,0.146,0.088,0.01,0.047,0.092,0.672,0.127,0.053,1085.455,848.897
Pennsylvania,11881643,7207497,980798,3693348,5694265,6187378,10520201,1089795,14733,256914,11512327,369316,186913,102930,8748,1522,55495,49302,276297,444964,2114927,470228,298487,59410,356158,537675,2621453,420432,223599,697525,415303,818918,2561212,29069,261250,217305,546542,1268029,883325,14068,1283629,4938140,0.479,0.521,920.303,0.607,0.083,0.311,451.052,0.885,0.092,0.001,0.022,129.412,0.969,0.031,32.08,0.506,0.279,0.024,0.004,0.15,108.035,2.406,0.013,0.076,0.122,0.579,0.129,0.082,0.014,0.084,0.127,0.621,0.1,0.053,1132.417,781.047
Rhode Island,1003464,824534,38847,140083,481496,521968,917375,38861,4071,43157,908376,95088,43466,14340,6420,281,26554,8630,23320,38953,159294,47480,28702,10915,29977,47736,199971,41154,22824,55061,30521,59757,231741,32181,18421,15447,36427,102897,87641,14981,92670,414572,0.48,0.52,922.463,0.822,0.039,0.14,162.249,0.914,0.039,0.004,0.043,93.843,0.905,0.095,104.679,0.457,0.151,0.068,0.003,0.279,92.35,2.42,0.028,0.076,0.127,0.52,0.155,0.094,0.031,0.085,0.135,0.567,0.117,0.065,1120.917,757.903
South Carolina,3486703,1426739,478639,1581325,1688510,1798193,2406974,1039884,8246,31599,3436739,49964,18957,15556,1869,335,11164,41841,99200,140321,544159,125704,64232,38733,115393,177342,649768,117457,53440,232789,122979,242955,660060,26256,108144,81570,175377,363801,206683,11897,517793,1424155,0.484,0.516,939.004,0.409,0.137,0.454,829.927,0.69,0.298,0.002,0.009,448.584,0.986,0.014,14.538,0.379,0.311,0.037,0.007,0.223,148.505,2.448,0.041,0.098,0.138,0.536,0.124,0.063,0.034,0.1,0.154,0.564,0.102,0.046,1117.928,717.276
